MoveEvent(x=1661, y=293, time=1643694477.867304)
MoveEvent(x=1661, y=293, time=1643694477.867304)
MoveEvent(x=1707, y=293, time=1643694477.875311)
MoveEvent(x=1749, y=293, time=1643694477.883303)
MoveEvent(x=1789, y=293, time=1643694477.891303)
MoveEvent(x=1819, y=293, time=1643694477.899303)
MoveEvent(x=1841, y=293, time=1643694477.907303)
MoveEvent(x=1843, y=295, time=1643694477.915302)
MoveEvent(x=1843, y=295, time=1643694477.915302)
MoveEvent(x=1844, y=295, time=1643694477.923301)
MoveEvent(x=1844, y=296, time=1643694477.931303)
MoveEvent(x=1845, y=296, time=1643694477.939301)
MoveEvent(x=1846, y=297, time=1643694477.955301)
MoveEvent(x=1846, y=297, time=1643694477.955301)
MoveEvent(x=1846, y=297, time=1643694477.979303)
